曲A,曲B,演奏公演数,全公演割合,演奏ツアー数,全ツアー割合
Karakuri Karukare,Master Volume,76,0.06978879706152434,6,0.14634146341463414
Cheap Cheap Endroll,Sugar Song to Bitter Step,131,0.12029384756657484,6,0.14634146341463414
Tettoutetsubi Yonayona Drive,"kid, I like quartet",73,0.06703397612488522,6,0.14634146341463414
Full Color Program,Scarsdale,77,0.0707070707070707,6,0.14634146341463414
Haru ga Kite Bokura,Sakura no Ato (all quartets lead to the?),94,0.08631772268135904,6,0.14634146341463414
Hakoniwa Rock Show,Sentimental Period,80,0.07346189164370982,6,0.14634146341463414
23:25,Shupurehikouru ~Sekai ga Owaru Mae ni~,45,0.04132231404958678,6,0.14634146341463414
Bachigai Hummingbird,Deirai Kyousou Gakudan,55,0.050505050505050504,6,0.14634146341463414
23:25,Deirai Kyousou Gakudan,34,0.031221303948576674,6,0.14634146341463414
Linear Blue wo Kikinagara,Orion wo Nazoru,84,0.07713498622589532,5,0.12195121951219512
"10% roll, 10% romance",Sakura no Ato (all quartets lead to the?),80,0.07346189164370982,5,0.12195121951219512
Airabuniju,Karakuri Karukare,24,0.02203856749311295,5,0.12195121951219512
Galileo no Showcase,Tettoutetsubi Yonayona Drive,74,0.06795224977043159,5,0.12195121951219512
crazy birthday,to the CIDER ROAD,66,0.06060606060606061,5,0.12195121951219512
23:25,Airabuniju,36,0.03305785123966942,5,0.12195121951219512
Galileo no Showcase,Worldwide Supergirl,32,0.02938475665748393,5,0.12195121951219512
Hakoniwa Rock Show,Sora no Tobikata,40,0.03673094582185491,5,0.12195121951219512
Airabuniju,Master Volume,40,0.03673094582185491,5,0.12195121951219512
Karakuri Karukare,Sentimental Period,84,0.07713498622589532,5,0.12195121951219512
MR. Andy,Ride on Time,42,0.03856749311294766,5,0.12195121951219512
Cheap Cheap Endroll,Sakura no Ato (all quartets lead to the?),101,0.09274563820018365,5,0.12195121951219512
Linear Blue wo Kikinagara,Sugar Song to Bitter Step,76,0.06978879706152434,5,0.12195121951219512
Counter Identity,Sanpo Saki My Life,33,0.030303030303030304,5,0.12195121951219512
Bachigai Hummingbird,Protract Countdown,38,0.03489439853076217,5,0.12195121951219512
Hakoniwa Rock Show,WINDOW Akeru,56,0.051423324150596875,5,0.12195121951219512
Full Color Program,Shupurehikouru ~Sekai ga Owaru Mae ni~,42,0.03856749311294766,5,0.12195121951219512
Full Color Program,WINDOW Akeru,56,0.051423324150596875,5,0.12195121951219512
Karakuri Karukare,WINDOW Akeru,68,0.06244260789715335,5,0.12195121951219512
Karakuri Karukare,Ride on Time,38,0.03489439853076217,5,0.12195121951219512
Chandelier Waltz,Master Volume,53,0.048668503213957756,5,0.12195121951219512
Bachigai Hummingbird,like coffee no Omajinai,39,0.03581267217630854,5,0.12195121951219512
Orion wo Nazoru,crazy birthday,94,0.08631772268135904,5,0.12195121951219512
Seihitsu Kanbi Akigure Jojou,Sugar Song to Bitter Step,88,0.08080808080808081,5,0.12195121951219512
Hakoniwa Rock Show,to the CIDER ROAD,89,0.08172635445362718,5,0.12195121951219512
Tettoutetsubi Yonayona Drive,kaleido proud fiesta,49,0.04499540863177227,5,0.12195121951219512
Orion wo Nazoru,Worldwide Supergirl,71,0.06519742883379247,5,0.12195121951219512
Nani ka ga Kawari So,Tettoutetsubi Yonayona Drive,71,0.06519742883379247,5,0.12195121951219512
Galileo no Showcase,WINDOW Akeru,72,0.06611570247933884,5,0.12195121951219512
23:25,Protract Countdown,34,0.031221303948576674,5,0.12195121951219512
Hakoniwa Rock Show,Ride on Time,46,0.04224058769513315,5,0.12195121951219512
