曲A(前),曲B(後),繋ぎ公演数,全公演での発生割合,繋ぎツアー数,全ツアーでの発生割合
Tengoku to Jigoku,Karakuri Karukare,37,0.03397612488521579,2,0.04878048780487805
Karakuri Karukare,Sakura no Ato (all quartets lead to the?),17,0.015610651974288337,2,0.04878048780487805
Bachigai Hummingbird,instant EGOIST,37,0.03397612488521579,2,0.04878048780487805
instant EGOIST,Tettoutetsubi Yonayona Drive,36,0.03305785123966942,2,0.04878048780487805
Messenger From Zen Sekai,Coffee Cup Syndrome,24,0.02203856749311295,2,0.04878048780487805
Sora no Tobikata,Mizu to Ame ni Tsuite,3,0.0027548209366391185,2,0.04878048780487805
Galileo no Showcase,"kid, I like quartet",4,0.0036730945821854912,2,0.04878048780487805
Siren in the Spy,Orion wo Nazoru,38,0.03489439853076217,2,0.04878048780487805
Full Color Program,Protract Countdown,16,0.014692378328741965,2,0.04878048780487805
Clover,Orchestra o Mi ni Ikou,48,0.0440771349862259,2,0.04878048780487805
Invisible Sensation,Bachigai Hummingbird,34,0.031221303948576674,2,0.04878048780487805
Kimi no Moto e,Chandelier Waltz,9,0.008264462809917356,2,0.04878048780487805
Master Volume,Kimi no Moto e,5,0.004591368227731864,2,0.04878048780487805
Bachigai Hummingbird,Yoru ga Yureteiru,14,0.012855831037649219,2,0.04878048780487805
cody beats,Orion wo Nazoru,14,0.012855831037649219,2,0.04878048780487805
cody beats,Deirai Kyousou Gakudan,4,0.0036730945821854912,2,0.04878048780487805
Atorakushon ga Hajimaru (they call it “NO.6”),Sugar Song to Bitter Step,19,0.017447199265381085,2,0.04878048780487805
cody beats,Galileo no Showcase,26,0.023875114784205693,2,0.04878048780487805
WINDOW Akeru,Master Volume,26,0.023875114784205693,2,0.04878048780487805
Drum Solo,Invisible Sensation,22,0.020202020202020204,2,0.04878048780487805
Atorakushon ga Hajimaru (they call it “NO.6”),Serenade ga Tomaranai,2,0.0018365472910927456,1,0.024390243902439025
Linear Blue wo Kikinagara,Boku wa Kimi ni Naritai,1,0.0009182736455463728,1,0.024390243902439025
Sanpo Saki My Life,Orion wo Nazoru,25,0.02295684113865932,1,0.024390243902439025
Cheap Cheap Endroll,Sugar Song to Bitter Step,25,0.02295684113865932,1,0.024390243902439025
"Nigatsu, Hakuchu no Nagareboshi to Hikoukigumo",Airabuniju,2,0.0018365472910927456,1,0.024390243902439025
Orion wo Nazoru,kaleido proud fiesta,27,0.024793388429752067,1,0.024390243902439025
Hitori Omou wa Ame no Naka,"Nigatsu, Hakuchu no Nagareboshi to Hikoukigumo",1,0.0009182736455463728,1,0.024390243902439025
kaleido proud fiesta,to the CIDER ROAD,25,0.02295684113865932,1,0.024390243902439025
mouth to mouse(sent you),Messenger From Zen Sekai,1,0.0009182736455463728,1,0.024390243902439025
Worldwide Supergirl,Master Volume,4,0.0036730945821854912,1,0.024390243902439025
Full Color Program,Kimi no Hitomi ni Koishi Tenai,2,0.0018365472910927456,1,0.024390243902439025
Kimi no Hitomi ni Koishi Tenai,Hatch I need,2,0.0018365472910927456,1,0.024390243902439025
Sakura no Ato (all quartets lead to the?),Haru ga Kite Bokura,2,0.0018365472910927456,1,0.024390243902439025
Boku wa Kimi ni Naritai,Tettoutetsubi Yonayona Drive,1,0.0009182736455463728,1,0.024390243902439025
Love Song wa Totsuzen ni? ~What is the name of that mystery??~,Worldwide Supergirl,16,0.014692378328741965,1,0.024390243902439025
Sekai wa Fancy,23:25,1,0.0009182736455463728,1,0.024390243902439025
Deirai Kyousou Gakudan,Childhood Supernova,1,0.0009182736455463728,1,0.024390243902439025
Protract Countdown,Deirai Kyousou Gakudan,1,0.0009182736455463728,1,0.024390243902439025
23:25,Protract Countdown,1,0.0009182736455463728,1,0.024390243902439025
to the CIDER ROAD,"10% roll, 10% romance",25,0.02295684113865932,1,0.024390243902439025
Full Color Program,Love Song wa Totsuzen ni? ~What is the name of that mystery??~,16,0.014692378328741965,1,0.024390243902439025
Mermaid Scandalous,Orion wo Nazoru,2,0.0018365472910927456,1,0.024390243902439025
Sugar Song to Bitter Step,Light Flat,1,0.0009182736455463728,1,0.024390243902439025
Sayonara Dai Kyu Wakusei,Sawarenai Uta,1,0.0009182736455463728,1,0.024390243902439025
Airabuniju,Mizu to Ame ni Tsuite,1,0.0009182736455463728,1,0.024390243902439025
Ryusei no Squall,Full Color Program,17,0.015610651974288337,1,0.024390243902439025
Sangatsu Monogatari,Sawarenai Uta,1,0.0009182736455463728,1,0.024390243902439025
Sawarenai Uta,kaleido proud fiesta,2,0.0018365472910927456,1,0.024390243902439025
kaleido proud fiesta,Tettoutetsubi Yonayona Drive,2,0.0018365472910927456,1,0.024390243902439025
Sugar Song to Bitter Step,Sangatsu Monogatari,1,0.0009182736455463728,1,0.024390243902439025
Nonfiction Compass,Tettoutetsubi Yonayona Drive,2,0.0018365472910927456,1,0.024390243902439025
Sayonara Summer Time Machine,Signal ABC,3,0.0027548209366391185,1,0.024390243902439025
Mizu to Ame ni Tsuite,Counter Identity,1,0.0009182736455463728,1,0.024390243902439025
Counter Identity,WINDOW Akeru,1,0.0009182736455463728,1,0.024390243902439025
Bachigai Hummingbird,Fiction Freak Crisis,1,0.0009182736455463728,1,0.024390243902439025
Fiction Freak Crisis,Linear Blue wo Kikinagara,1,0.0009182736455463728,1,0.024390243902439025
Linear Blue wo Kikinagara,Serenade ga Tomaranai,3,0.0027548209366391185,1,0.024390243902439025
Sawarenai Uta,Atorakushon ga Hajimaru (they call it “NO.6”),2,0.0018365472910927456,1,0.024390243902439025
Atorakushon ga Hajimaru (they call it “NO.6”),Tettoutetsubi Yonayona Drive,2,0.0018365472910927456,1,0.024390243902439025
Chaos ga Kiwamaru,harmonized finale,1,0.0009182736455463728,1,0.024390243902439025
Tettoutetsubi Yonayona Drive,Sakura no Ato (all quartets lead to the?),4,0.0036730945821854912,1,0.024390243902439025
Coffee Cup Syndrome,Sentimental Period,2,0.0018365472910927456,1,0.024390243902439025
Master Volume,Ride on Time,5,0.004591368227731864,1,0.024390243902439025
Silent Libre Mirage,Own Civilization (nano‐mile met),25,0.02295684113865932,1,0.024390243902439025
CAPACITY Koeru,Silent Libre Mirage,25,0.02295684113865932,1,0.024390243902439025
Chandelier Waltz,CAPACITY Koeru,26,0.023875114784205693,1,0.024390243902439025
Sekai wa Fancy,Chandelier Waltz,25,0.02295684113865932,1,0.024390243902439025
Hakoniwa Rock Show,Sekai wa Fancy,25,0.02295684113865932,1,0.024390243902439025
harmonized finale,Hakoniwa Rock Show,25,0.02295684113865932,1,0.024390243902439025
Haru ga Kite Bokura,Chandelier Waltz,4,0.0036730945821854912,1,0.024390243902439025
like coffee no Omajinai,Sakura no Ato (all quartets lead to the?),9,0.008264462809917356,1,0.024390243902439025
Friday Novels,like coffee no Omajinai,7,0.006427915518824609,1,0.024390243902439025
Ride on Time,Sentimental Period,2,0.0018365472910927456,1,0.024390243902439025
Toushindai no Chikyu,Sayonara Dai Kyu Wakusei,1,0.0009182736455463728,1,0.024390243902439025
Sentimental Period,Clover,6,0.005509641873278237,1,0.024390243902439025
Mizu to Ame ni Tsuite,WINDOW Akeru,5,0.004591368227731864,1,0.024390243902439025
Messenger From Zen Sekai,Mizu to Ame ni Tsuite,5,0.004591368227731864,1,0.024390243902439025
Hitori Omou wa Ame no Naka,Messenger From Zen Sekai,1,0.0009182736455463728,1,0.024390243902439025
Full Color Program,Hitori Omou wa Ame no Naka,3,0.0027548209366391185,1,0.024390243902439025
Deirai Kyousou Gakudan,Ryusei Kouro,6,0.005509641873278237,1,0.024390243902439025
Deirai Kyousou Gakudan,Toushindai no Chikyu,5,0.004591368227731864,1,0.024390243902439025
Counter Identity,"Nigatsu, Hakuchu no Nagareboshi to Hikoukigumo",3,0.0027548209366391185,1,0.024390243902439025
WINDOW Akeru,Counter Identity,8,0.0073461891643709825,1,0.024390243902439025
Otonoba Chukan Shiken,Tengoku to Jigoku,8,0.0073461891643709825,1,0.024390243902439025
Galileo no Showcase,Light Flat,8,0.0073461891643709825,1,0.024390243902439025
Toushindai no Chikyu,Another World,1,0.0009182736455463728,1,0.024390243902439025
Kimi no Moto e,Master Volume,10,0.009182736455463728,1,0.024390243902439025
Drum Solo,Tettoutetsubi Yonayona Drive,2,0.0018365472910927456,1,0.024390243902439025
Tettoutetsubi Yonayona Drive,Sayonara Summer Time Machine,1,0.0009182736455463728,1,0.024390243902439025
Chandelier Waltz,Kimi no Moto e,10,0.009182736455463728,1,0.024390243902439025
Kimi no Moto e,Sayonara Summer Time Machine,1,0.0009182736455463728,1,0.024390243902439025
Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,Snow Answer,1,0.0009182736455463728,1,0.024390243902439025
Nano Size Skywalk,Sanpo Saki My Life,25,0.02295684113865932,1,0.024390243902439025
Snow Answer,"kid, I like quartet",1,0.0009182736455463728,1,0.024390243902439025
Worldwide Supergirl,Nano Size Skywalk,25,0.02295684113865932,1,0.024390243902439025
Kimi wa Iiko,mouth to mouse(sent you),1,0.0009182736455463728,1,0.024390243902439025
Hakoniwa Rock Show,23:25,4,0.0036730945821854912,1,0.024390243902439025
